,model,dic,model_type
1244,angle_mod_867_1,-50132.11514566547,Collapsing Bounds
1441,angle_mod_599_1,-50132.01133844027,Collapsing Bounds
365,angle_mod_1624_1,-50131.31544489919,Collapsing Bounds
2137,angle_mod_1056_1,-50131.276293625844,Collapsing Bounds
2732,angle_mod_92_1,-50131.17109071989,Collapsing Bounds
456,angle_mod_1130_1,-50130.77541027178,Collapsing Bounds
2724,angle_mod_707_1,-50130.51328937212,Collapsing Bounds
2493,angle_mod_967_1,-50128.450742817804,Collapsing Bounds
1215,angle_mod_144_1,-50128.39411449507,Collapsing Bounds
877,angle_mod_391_1,-50127.792509061306,Collapsing Bounds
700,angle_mod_2189_1,-50127.7488941305,Collapsing Bounds
973,angle_mod_743_1,-50126.33046733949,Collapsing Bounds
2123,angle_mod_481_1,-50126.308236223515,Collapsing Bounds
2403,angle_mod_1870_1,-50126.02238382365,Collapsing Bounds
2492,angle_mod_1372_1,-50125.908303207536,Collapsing Bounds
1201,angle_mod_282_1,-50125.690562714466,Collapsing Bounds
1367,angle_mod_631_1,-50123.6662741148,Collapsing Bounds
1461,angle_mod_1924_1,-50123.62706840817,Collapsing Bounds
2293,angle_mod_31_1,-50123.522069996805,Collapsing Bounds
1754,angle_mod_238_1,-50123.469497154,Collapsing Bounds
1148,angle_mod_2038_1,-50121.72212610286,Collapsing Bounds
527,angle_mod_1014_1,-50119.63512404375,Collapsing Bounds
2553,angle_mod_906_1,-50118.66476962046,Collapsing Bounds
2468,angle_mod_1309_1,-50118.41092810694,Collapsing Bounds
1313,angle_mod_1161_1,-50117.80051355335,Collapsing Bounds
1025,angle_mod_1947_1,-50117.52086795047,Collapsing Bounds
140,angle_mod_180_1,-50117.27596069887,Collapsing Bounds
32,angle_mod_952_1,-50117.213049447906,Collapsing Bounds
1035,angle_mod_646_1,-50116.572342474894,Collapsing Bounds
2586,angle_mod_1578_1,-50116.45806624818,Collapsing Bounds
586,angle_mod_969_1,-50115.19532285694,Collapsing Bounds
2594,angle_mod_1597_1,-50114.06929992807,Collapsing Bounds
1601,angle_mod_1953_1,-50113.7891018802,Collapsing Bounds
1362,angle_mod_1462_1,-50113.173359466055,Collapsing Bounds
728,angle_mod_1072_1,-50110.68807118159,Collapsing Bounds
2566,angle_mod_286_1,-50110.481412884685,Collapsing Bounds
1312,angle_mod_277_1,-50109.78223147581,Collapsing Bounds
2399,angle_mod_265_1,-50109.39470933335,Collapsing Bounds
2665,angle_mod_1796_1,-50109.072261747504,Collapsing Bounds
1424,angle_mod_37_1,-50104.67886179578,Collapsing Bounds
2543,angle_mod_834_1,-50104.62835558127,Collapsing Bounds
1691,angle_mod_794_1,-50104.41760131038,Collapsing Bounds
1544,angle_mod_1695_1,-50103.41032775478,Collapsing Bounds
1713,angle_mod_844_1,-50103.38798292161,Collapsing Bounds
1866,angle_mod_756_1,-50102.7123760657,Collapsing Bounds
1964,angle_mod_275_1,-50102.47613988089,Collapsing Bounds
346,angle_mod_836_1,-50099.36594417009,Collapsing Bounds
81,angle_mod_293_1,-50099.079832242,Collapsing Bounds
689,angle_mod_325_1,-50097.35675573169,Collapsing Bounds
1624,angle_mod_278_1,-50096.26208322756,Collapsing Bounds
1567,angle_mod_1292_1,-50096.05655769718,Collapsing Bounds
2089,angle_mod_614_1,-50094.7910972415,Collapsing Bounds
2328,angle_mod_2318_1,-50094.73923830335,Collapsing Bounds
502,angle_mod_2395_1,-50094.34783382024,Collapsing Bounds
366,angle_mod_532_1,-50094.27733682664,Collapsing Bounds
1094,angle_mod_191_1,-50093.81314099007,Collapsing Bounds
2214,angle_mod_1715_1,-50092.62581690943,Collapsing Bounds
953,angle_mod_2150_1,-50092.084460225706,Collapsing Bounds
564,angle_mod_178_1,-50091.34926309592,Collapsing Bounds
512,angle_mod_569_1,-50090.786153503315,Collapsing Bounds
2495,angle_mod_30_1,-50090.63468697191,Collapsing Bounds
1885,angle_mod_428_1,-50090.48295569888,Collapsing Bounds
1575,angle_mod_311_1,-50090.44421737005,Collapsing Bounds
1645,angle_mod_1139_1,-50089.06166254694,Collapsing Bounds
1000,angle_mod_305_1,-50088.88026374715,Collapsing Bounds
86,angle_mod_13_1,-50088.15752766158,Collapsing Bounds
2091,angle_mod_244_1,-50087.60250805195,Collapsing Bounds
465,angle_mod_1433_1,-50086.29293883673,Collapsing Bounds
2143,angle_mod_85_1,-50085.88495661185,Collapsing Bounds
4,angle_mod_2029_1,-50085.19215161668,Collapsing Bounds
2163,angle_mod_291_1,-50083.94466827173,Collapsing Bounds
932,angle_mod_578_1,-50083.92912987222,Collapsing Bounds
991,angle_mod_1156_1,-50083.487372635944,Collapsing Bounds
2105,angle_mod_317_1,-50082.75916095946,Collapsing Bounds
1975,angle_mod_1476_1,-50082.08923574458,Collapsing Bounds
2129,angle_mod_897_1,-50081.73855923386,Collapsing Bounds
2372,angle_mod_663_1,-50081.27282985259,Collapsing Bounds
302,angle_mod_175_1,-50080.96744667549,Collapsing Bounds
897,angle_mod_42_1,-50080.6453838691,Collapsing Bounds
424,angle_mod_334_1,-50080.18951516737,Collapsing Bounds
1143,angle_mod_502_1,-50079.51122403257,Collapsing Bounds
951,angle_mod_1286_1,-50079.210035395874,Collapsing Bounds
2599,angle_mod_947_1,-50079.11091885824,Collapsing Bounds
469,angle_mod_1576_1,-50078.7404855021,Collapsing Bounds
218,angle_mod_661_1,-50078.26173512548,Collapsing Bounds
1043,angle_mod_2393_1,-50077.40208798184,Collapsing Bounds
35,angle_mod_378_1,-50076.73295468754,Collapsing Bounds
453,angle_mod_676_1,-50076.60820413104,Collapsing Bounds
2666,angle_mod_480_1,-50076.48719245232,Collapsing Bounds
46,angle_mod_552_1,-50076.46483534285,Collapsing Bounds
1304,angle_mod_298_1,-50074.11752987363,Collapsing Bounds
584,angle_mod_590_1,-50074.02547353891,Collapsing Bounds
1774,angle_mod_384_1,-50073.82997088206,Collapsing Bounds
759,angle_mod_1249_1,-50073.47907522127,Collapsing Bounds
1926,angle_mod_1122_1,-50073.298280462746,Collapsing Bounds
1515,angle_mod_632_1,-50073.00600404273,Collapsing Bounds
2047,angle_mod_131_1,-50072.57638756568,Collapsing Bounds
691,angle_mod_630_1,-50072.5190300043,Collapsing Bounds
2141,angle_mod_1113_1,-50072.33016451408,Collapsing Bounds
2459,angle_mod_623_1,-50072.200278016055,Collapsing Bounds
2347,angle_mod_675_1,-50071.18304309762,Collapsing Bounds
1156,angle_mod_739_1,-50070.87204499067,Collapsing Bounds
2734,angle_mod_1104_1,-50070.109183934524,Collapsing Bounds
107,angle_mod_207_1,-50069.10625070212,Collapsing Bounds
1545,angle_mod_583_1,-50068.41377759131,Collapsing Bounds
791,angle_mod_466_1,-50068.323244493724,Collapsing Bounds
168,angle_mod_587_1,-50068.12501584558,Collapsing Bounds
1484,angle_mod_366_1,-50068.107613959226,Collapsing Bounds
1616,angle_mod_1396_1,-50067.50972052693,Collapsing Bounds
2613,angle_mod_697_1,-50067.412859219075,Collapsing Bounds
2611,angle_mod_382_1,-50067.10636037161,Collapsing Bounds
143,angle_mod_2140_1,-50066.102107458675,Collapsing Bounds
960,angle_mod_485_1,-50065.960443820106,Collapsing Bounds
817,angle_mod_165_1,-50065.807805755605,Collapsing Bounds
2262,angle_mod_2375_1,-50065.308688143865,Collapsing Bounds
1480,angle_mod_223_1,-50065.28312822942,Collapsing Bounds
2438,angle_mod_224_1,-50063.40924928511,Collapsing Bounds
2121,angle_mod_878_1,-50062.60000337143,Collapsing Bounds
2029,angle_mod_865_1,-50061.948347442085,Collapsing Bounds
2042,angle_mod_648_1,-50061.45105932498,Collapsing Bounds
47,angle_mod_1214_1,-50061.16691276795,Collapsing Bounds
64,angle_mod_381_1,-50060.98577444793,Collapsing Bounds
36,angle_mod_682_1,-50060.70340768121,Collapsing Bounds
332,angle_mod_421_1,-50060.586886956444,Collapsing Bounds
1023,angle_mod_78_1,-50060.30017425026,Collapsing Bounds
717,angle_mod_667_1,-50059.67094025723,Collapsing Bounds
464,angle_mod_375_1,-50057.6203456036,Collapsing Bounds
223,angle_mod_548_1,-50057.585813715246,Collapsing Bounds
2674,angle_mod_1000_1,-50056.69909611684,Collapsing Bounds
2034,angle_mod_189_1,-50056.34698100692,Collapsing Bounds
643,angle_mod_2213_1,-50055.53401676906,Collapsing Bounds
1598,angle_mod_346_1,-50055.089807856646,Collapsing Bounds
301,angle_mod_1263_1,-50054.615467787065,Collapsing Bounds
1338,angle_mod_1065_1,-50054.15293260414,Collapsing Bounds
1479,angle_mod_389_1,-50053.99735388166,Collapsing Bounds
2490,angle_mod_434_1,-50053.69076970431,Collapsing Bounds
655,angle_mod_545_1,-50053.28346101837,Collapsing Bounds
60,angle_mod_694_1,-50052.72485527555,Collapsing Bounds
771,angle_mod_431_1,-50052.61474660088,Collapsing Bounds
2136,angle_mod_340_1,-50051.47685681124,Collapsing Bounds
1393,angle_mod_1621_1,-50051.11287999707,Collapsing Bounds
1764,angle_mod_412_1,-50050.32791734994,Collapsing Bounds
77,angle_mod_440_1,-50050.24377828793,Collapsing Bounds
2524,angle_mod_160_1,-50050.23538865504,Collapsing Bounds
1009,angle_mod_1678_1,-50048.61777205651,Collapsing Bounds
1102,angle_mod_484_1,-50047.90880651488,Collapsing Bounds
1261,angle_mod_172_1,-50047.58120972812,Collapsing Bounds
2658,angle_mod_84_1,-50047.22586303333,Collapsing Bounds
2558,angle_mod_1606_1,-50047.005845876396,Collapsing Bounds
2409,angle_mod_320_1,-50045.27526656771,Collapsing Bounds
1608,angle_mod_1545_1,-50044.2282381382,Collapsing Bounds
1067,angle_mod_304_1,-50043.96351121781,Collapsing Bounds
2479,angle_mod_208_1,-50043.77556253853,Collapsing Bounds
720,angle_mod_1658_1,-50041.25601543154,Collapsing Bounds
2696,angle_mod_183_1,-50040.69523172298,Collapsing Bounds
1792,angle_mod_500_1,-50040.38807107394,Collapsing Bounds
1818,angle_mod_1051_1,-50040.3386360237,Collapsing Bounds
541,angle_mod_494_1,-50039.70493138672,Collapsing Bounds
2526,angle_mod_1299_1,-50039.33643518622,Collapsing Bounds
1213,angle_mod_514_1,-50039.075086332195,Collapsing Bounds
1739,angle_mod_404_1,-50039.03752781572,Collapsing Bounds
931,angle_mod_128_1,-50038.45895425003,Collapsing Bounds
840,angle_mod_515_1,-50036.84036779494,Collapsing Bounds
540,angle_mod_1782_1,-50036.18059331018,Collapsing Bounds
1002,angle_mod_581_1,-50036.03698372195,Collapsing Bounds
82,angle_mod_339_1,-50035.6517084777,Collapsing Bounds
2557,angle_mod_510_1,-50035.30615172685,Collapsing Bounds
893,angle_mod_368_1,-50035.12472475458,Collapsing Bounds
738,angle_mod_558_1,-50033.783811679015,Collapsing Bounds
1765,angle_mod_1354_1,-50032.79381129684,Collapsing Bounds
629,angle_mod_103_1,-50032.18287570123,Collapsing Bounds
1898,angle_mod_1552_1,-50031.433000647296,Collapsing Bounds
2181,angle_mod_383_1,-50031.42116524289,Collapsing Bounds
259,angle_mod_620_1,-50029.98150484656,Collapsing Bounds
1353,angle_mod_666_1,-50029.747801469406,Collapsing Bounds
325,angle_mod_708_1,-50029.226495924646,Collapsing Bounds
2621,angle_mod_443_1,-50029.15013429927,Collapsing Bounds
2234,angle_mod_454_1,-50028.703092270145,Collapsing Bounds
417,angle_mod_508_1,-50028.690257335904,Collapsing Bounds
1795,angle_mod_279_1,-50028.68066682546,Collapsing Bounds
197,angle_mod_1936_1,-50028.498411982044,Collapsing Bounds
756,angle_mod_626_1,-50028.35863028108,Collapsing Bounds
1430,angle_mod_576_1,-50027.77893550781,Collapsing Bounds
1445,angle_mod_1119_1,-50027.56257242659,Collapsing Bounds
1560,angle_mod_242_1,-50027.34738492785,Collapsing Bounds
1537,angle_mod_95_1,-50027.007007226835,Collapsing Bounds
2316,angle_mod_2363_1,-50026.83767056901,Collapsing Bounds
2161,angle_mod_11_1,-50026.43635848736,Collapsing Bounds
904,angle_mod_153_1,-50024.89011421279,Collapsing Bounds
170,angle_mod_568_1,-50024.84425824978,Collapsing Bounds
2271,angle_mod_474_1,-50022.90386937974,Collapsing Bounds
2420,angle_mod_662_1,-50022.683022782716,Collapsing Bounds
781,angle_mod_124_1,-50022.56260045294,Collapsing Bounds
2412,angle_mod_459_1,-50021.96207323464,Collapsing Bounds
457,angle_mod_549_1,-50021.6218451196,Collapsing Bounds
2317,angle_mod_89_1,-50019.6948137526,Collapsing Bounds
636,angle_mod_416_1,-50019.590422739224,Collapsing Bounds
2565,angle_mod_639_1,-50019.44002147637,Collapsing Bounds
2473,angle_mod_67_1,-50018.657253775615,Collapsing Bounds
2446,angle_mod_361_1,-50018.51948923793,Collapsing Bounds
1317,angle_mod_559_1,-50018.41741881369,Collapsing Bounds
971,angle_mod_313_1,-50018.25565090236,Collapsing Bounds
1030,angle_mod_96_1,-50017.16891263667,Collapsing Bounds
2609,angle_mod_678_1,-50015.778544656714,Collapsing Bounds
1548,angle_mod_1011_1,-50015.56263182193,Collapsing Bounds
2576,angle_mod_402_1,-50015.33193667806,Collapsing Bounds
232,angle_mod_2208_1,-50014.23673604426,Collapsing Bounds
2330,angle_mod_272_1,-50014.20749500136,Collapsing Bounds
497,angle_mod_640_1,-50013.92187197885,Collapsing Bounds
889,angle_mod_411_1,-50013.87082752373,Collapsing Bounds
1959,angle_mod_808_1,-50013.13645964608,Collapsing Bounds
1017,angle_mod_647_1,-50012.97270575023,Collapsing Bounds
1919,angle_mod_1319_1,-50012.432257184926,Collapsing Bounds
139,angle_mod_745_1,-50012.396000477216,Collapsing Bounds
1784,angle_mod_445_1,-50012.12105212175,Collapsing Bounds
1408,angle_mod_1158_1,-50012.03112382682,Collapsing Bounds
1189,angle_mod_543_1,-50011.261560679515,Collapsing Bounds
1593,angle_mod_468_1,-50011.17837862943,Collapsing Bounds
1955,angle_mod_1972_1,-50011.02303548319,Collapsing Bounds
1324,angle_mod_365_1,-50010.99840264548,Collapsing Bounds
544,angle_mod_251_1,-50010.9792458407,Collapsing Bounds
1652,angle_mod_40_1,-50010.93429619502,Collapsing Bounds
1404,angle_mod_1334_1,-50010.82569893407,Collapsing Bounds
1259,angle_mod_467_1,-50010.313720850725,Collapsing Bounds
1819,angle_mod_347_1,-50009.32754031414,Collapsing Bounds
1170,angle_mod_410_1,-50009.25289349648,Collapsing Bounds
1105,angle_mod_650_1,-50008.925103769456,Collapsing Bounds
981,angle_mod_186_1,-50008.35416693665,Collapsing Bounds
1428,angle_mod_258_1,-50008.18672987484,Collapsing Bounds
2039,angle_mod_77_1,-50007.99240240508,Collapsing Bounds
952,angle_mod_190_1,-50007.96390689599,Collapsing Bounds
1414,angle_mod_171_1,-50007.449641001695,Collapsing Bounds
506,angle_mod_355_1,-50007.18302415509,Collapsing Bounds
693,angle_mod_260_1,-50006.98453568405,Collapsing Bounds
363,angle_mod_477_1,-50006.50355506017,Collapsing Bounds
855,angle_mod_1879_1,-50006.46443867155,Collapsing Bounds
1925,angle_mod_234_1,-50005.92589096828,Collapsing Bounds
1767,angle_mod_557_1,-50005.88430321481,Collapsing Bounds
2375,angle_mod_376_1,-50005.84781486928,Collapsing Bounds
1687,angle_mod_110_1,-50004.7926684976,Collapsing Bounds
1099,angle_mod_938_1,-50004.42230784942,Collapsing Bounds
1086,angle_mod_312_1,-50004.1917410676,Collapsing Bounds
872,angle_mod_54_1,-50004.0720140237,Collapsing Bounds
802,angle_mod_309_1,-50003.4274793731,Collapsing Bounds
1670,angle_mod_669_1,-50003.276999063084,Collapsing Bounds
1176,angle_mod_55_1,-50002.9582095114,Collapsing Bounds
2011,angle_mod_520_1,-50002.112498826005,Collapsing Bounds
1355,angle_mod_518_1,-50001.92296099469,Collapsing Bounds
2333,angle_mod_622_1,-50001.77507459562,Collapsing Bounds
707,angle_mod_1434_1,-50001.64338324965,Collapsing Bounds
1227,angle_mod_563_1,-50001.54228429418,Collapsing Bounds
1406,angle_mod_21_1,-50001.53115139433,Collapsing Bounds
939,angle_mod_201_1,-50001.10149919094,Collapsing Bounds
2423,angle_mod_377_1,-50001.04859652369,Collapsing Bounds
766,angle_mod_62_1,-50000.95425754469,Collapsing Bounds
563,angle_mod_528_1,-49999.817748741974,Collapsing Bounds
129,angle_mod_600_1,-49998.835216094994,Collapsing Bounds
1519,angle_mod_1461_1,-49998.43231356623,Collapsing Bounds
2302,angle_mod_570_1,-49998.10797329575,Collapsing Bounds
2397,angle_mod_635_1,-49997.87764586915,Collapsing Bounds
969,angle_mod_606_1,-49997.78714692818,Collapsing Bounds
2386,angle_mod_264_1,-49997.73099225986,Collapsing Bounds
1974,angle_mod_330_1,-49997.596870388705,Collapsing Bounds
1839,angle_mod_193_1,-49996.39867487189,Collapsing Bounds
1980,angle_mod_61_1,-49994.609079536946,Collapsing Bounds
2688,angle_mod_603_1,-49994.54027863895,Collapsing Bounds
698,angle_mod_149_1,-49994.207903642804,Collapsing Bounds
814,angle_mod_535_1,-49993.86090100473,Collapsing Bounds
276,angle_mod_437_1,-49992.85925781731,Collapsing Bounds
748,angle_mod_19_1,-49992.843220180795,Collapsing Bounds
2396,angle_mod_321_1,-49991.95440917485,Collapsing Bounds
430,angle_mod_271_1,-49991.85371011543,Collapsing Bounds
1110,angle_mod_80_1,-49991.66154197968,Collapsing Bounds
793,angle_mod_173_1,-49991.26333656049,Collapsing Bounds
496,angle_mod_1556_1,-49990.906306083125,Collapsing Bounds
2291,angle_mod_198_1,-49989.91854200937,Collapsing Bounds
27,angle_mod_544_1,-49989.707944097434,Collapsing Bounds
1396,angle_mod_167_1,-49989.24898431363,Collapsing Bounds
2032,angle_mod_473_1,-49988.84128720558,Collapsing Bounds
844,angle_mod_450_1,-49988.613761674394,Collapsing Bounds
2170,angle_mod_157_1,-49988.34948345532,Collapsing Bounds
1281,angle_mod_1399_1,-49987.06759442737,Collapsing Bounds
2357,angle_mod_360_1,-49986.126816141754,Collapsing Bounds
531,angle_mod_28_1,-49985.40201065576,Collapsing Bounds
0,angle_mod_513_1,-49984.39875197731,Collapsing Bounds
415,angle_mod_1059_1,-49983.39686812209,Collapsing Bounds
2418,angle_mod_232_1,-49982.58403326571,Collapsing Bounds
397,angle_mod_32_1,-49982.29946755796,Collapsing Bounds
1522,angle_mod_327_1,-49981.42065595685,Collapsing Bounds
804,angle_mod_23_1,-49980.980074951825,Collapsing Bounds
1344,angle_mod_59_1,-49980.41897026145,Collapsing Bounds
2318,angle_mod_209_1,-49979.8870281701,Collapsing Bounds
1178,angle_mod_1593_1,-49979.8456867415,Collapsing Bounds
2504,angle_mod_526_1,-49979.53740086968,Collapsing Bounds
279,angle_mod_572_1,-49979.33145421273,Collapsing Bounds
733,angle_mod_221_1,-49979.202713180624,Collapsing Bounds
1833,angle_mod_2016_1,-49979.179550004446,Collapsing Bounds
2190,angle_mod_1353_1,-49976.740556604076,Collapsing Bounds
990,angle_mod_240_1,-49976.68652403407,Collapsing Bounds
2729,angle_mod_1807_1,-49976.57439725363,Collapsing Bounds
2210,angle_mod_950_1,-49976.38521873657,Collapsing Bounds
529,angle_mod_2268_1,-49975.51219115314,Collapsing Bounds
2197,angle_mod_100_1,-49974.81408785511,Collapsing Bounds
329,angle_mod_72_1,-49974.67544300867,Collapsing Bounds
1306,angle_mod_18_1,-49974.532343443134,Collapsing Bounds
2512,angle_mod_199_1,-49972.7809357424,Collapsing Bounds
2043,angle_mod_218_1,-49972.274692389656,Collapsing Bounds
1285,angle_mod_125_1,-49971.01854097119,Collapsing Bounds
1439,angle_mod_1725_1,-49970.9317143347,Collapsing Bounds
688,angle_mod_1463_1,-49970.83413120533,Collapsing Bounds
1379,angle_mod_560_1,-49970.54879472816,Collapsing Bounds
30,angle_mod_401_1,-49970.27866194656,Collapsing Bounds
1721,angle_mod_146_1,-49969.995274320325,Collapsing Bounds
2004,angle_mod_609_1,-49969.629232376195,Collapsing Bounds
1689,angle_mod_540_1,-49968.564515948994,Collapsing Bounds
2045,angle_mod_832_1,-49968.545272658004,Collapsing Bounds
1477,angle_mod_673_1,-49967.98546602625,Collapsing Bounds
479,angle_mod_1464_1,-49967.49678446481,Collapsing Bounds
1716,angle_mod_453_1,-49967.3882392955,Collapsing Bounds
311,angle_mod_925_1,-49965.660006016384,Collapsing Bounds
1251,angle_mod_1858_1,-49964.800553958594,Collapsing Bounds
731,angle_mod_671_1,-49964.68398672514,Collapsing Bounds
201,angle_mod_636_1,-49963.81336376218,Collapsing Bounds
649,angle_mod_396_1,-49963.254434839015,Collapsing Bounds
120,angle_mod_196_1,-49963.14111693487,Collapsing Bounds
554,angle_mod_314_1,-49963.13814194043,Collapsing Bounds
1283,angle_mod_575_1,-49963.04817689421,Collapsing Bounds
1674,angle_mod_1590_1,-49962.839621330604,Collapsing Bounds
2578,angle_mod_117_1,-49962.55947506509,Collapsing Bounds
1843,angle_mod_310_1,-49962.43237017243,Collapsing Bounds
157,angle_mod_246_1,-49962.27388124139,Collapsing Bounds
324,angle_mod_1808_1,-49962.21499710095,Collapsing Bounds
2172,angle_mod_507_1,-49962.05666354285,Collapsing Bounds
1812,angle_mod_594_1,-49961.65321684559,Collapsing Bounds
432,angle_mod_621_1,-49961.27043952061,Collapsing Bounds
92,angle_mod_591_1,-49961.0526906988,Collapsing Bounds
869,angle_mod_407_1,-49960.37211230631,Collapsing Bounds
319,angle_mod_499_1,-49960.17539057998,Collapsing Bounds
1141,angle_mod_152_1,-49959.701255922846,Collapsing Bounds
1602,angle_mod_2369_1,-49959.452032306624,Collapsing Bounds
1789,angle_mod_1246_1,-49958.982134296464,Collapsing Bounds
1868,angle_mod_306_1,-49958.067036240805,Collapsing Bounds
1427,angle_mod_608_1,-49958.05697221037,Collapsing Bounds
1848,angle_mod_1513_1,-49957.90293709542,Collapsing Bounds
572,angle_mod_656_1,-49957.656357560736,Collapsing Bounds
2735,angle_mod_642_1,-49957.464843017035,Collapsing Bounds
2070,angle_mod_643_1,-49956.91541291335,Collapsing Bounds
772,angle_mod_1377_1,-49956.558888269436,Collapsing Bounds
455,angle_mod_226_1,-49956.46323889826,Collapsing Bounds
737,angle_mod_108_1,-49956.41131189587,Collapsing Bounds
2488,angle_mod_121_1,-49955.071288839106,Collapsing Bounds
644,angle_mod_53_1,-49954.87270675897,Collapsing Bounds
395,angle_mod_318_1,-49954.818175813896,Collapsing Bounds
307,angle_mod_25_1,-49954.29130275307,Collapsing Bounds
2243,angle_mod_141_1,-49953.85931661131,Collapsing Bounds
1019,angle_mod_352_1,-49952.26129114877,Collapsing Bounds
2518,angle_mod_249_1,-49952.15202417954,Collapsing Bounds
2722,angle_mod_357_1,-49950.64676238241,Collapsing Bounds
1879,angle_mod_243_1,-49950.146266741576,Collapsing Bounds
984,angle_mod_493_1,-49950.06681992227,Collapsing Bounds
1263,angle_mod_488_1,-49949.972788227955,Collapsing Bounds
2648,angle_mod_1954_1,-49949.89971474693,Collapsing Bounds
1761,angle_mod_941_1,-49948.7677495674,Collapsing Bounds
1995,angle_mod_1724_1,-49948.22554127678,Collapsing Bounds
1386,angle_mod_76_1,-49948.13648845289,Collapsing Bounds
1623,angle_mod_628_1,-49946.85913765062,Collapsing Bounds
2607,angle_mod_1997_1,-49944.45036952891,Collapsing Bounds
1250,angle_mod_164_1,-49944.15656804268,Collapsing Bounds
1999,angle_mod_2276_1,-49943.77347908237,Collapsing Bounds
534,angle_mod_181_1,-49943.25652769519,Collapsing Bounds
914,angle_mod_446_1,-49942.76307029711,Collapsing Bounds
597,angle_mod_2252_1,-49942.411212205036,Collapsing Bounds
2580,angle_mod_547_1,-49941.55476373962,Collapsing Bounds
263,angle_mod_159_1,-49941.220916606544,Collapsing Bounds
418,angle_mod_158_1,-49938.233101175385,Collapsing Bounds
1082,angle_mod_257_1,-49937.977976088885,Collapsing Bounds
1203,angle_mod_1897_1,-49935.49691231653,Collapsing Bounds
43,angle_mod_397_1,-49932.56373419578,Collapsing Bounds
894,angle_mod_1584_1,-49932.12026816114,Collapsing Bounds
610,angle_mod_504_1,-49930.77772303211,Collapsing Bounds
1057,angle_mod_241_1,-49930.293820378676,Collapsing Bounds
1571,angle_mod_887_1,-49930.18222914211,Collapsing Bounds
2422,angle_mod_398_1,-49928.999701894594,Collapsing Bounds
2247,angle_mod_566_1,-49928.866357695995,Collapsing Bounds
2669,angle_mod_1779_1,-49928.35585406184,Collapsing Bounds
1157,angle_mod_43_1,-49928.190224200975,Collapsing Bounds
2327,angle_mod_1867_1,-49927.724368669595,Collapsing Bounds
375,angle_mod_24_1,-49927.58917419562,Collapsing Bounds
127,angle_mod_250_1,-49926.86726672033,Collapsing Bounds
1549,angle_mod_307_1,-49926.571926700904,Collapsing Bounds
918,angle_mod_15_1,-49926.19206361589,Collapsing Bounds
2081,angle_mod_2115_1,-49925.82302818858,Collapsing Bounds
1954,angle_mod_367_1,-49925.70838296465,Collapsing Bounds
1443,angle_mod_60_1,-49925.47899115116,Collapsing Bounds
895,angle_mod_692_1,-49924.202599819924,Collapsing Bounds
1316,angle_mod_109_1,-49923.98677004586,Collapsing Bounds
524,angle_mod_247_1,-49923.536815690524,Collapsing Bounds
1075,angle_mod_492_1,-49921.06908332612,Collapsing Bounds
2106,angle_mod_1001_1,-49920.78092685716,Collapsing Bounds
2592,angle_mod_51_1,-49919.677935032174,Collapsing Bounds
1643,angle_mod_501_1,-49919.674092194895,Collapsing Bounds
1153,angle_mod_369_1,-49917.26055608872,Collapsing Bounds
384,angle_mod_898_1,-49915.401640521995,Collapsing Bounds
74,angle_mod_505_1,-49915.180116913005,Collapsing Bounds
1565,angle_mod_491_1,-49914.57383084499,Collapsing Bounds
924,angle_mod_1496_1,-49913.3024308865,Collapsing Bounds
186,angle_mod_354_1,-49913.00130675101,Collapsing Bounds
1790,angle_mod_150_1,-49912.969347817496,Collapsing Bounds
2009,angle_mod_170_1,-49912.70447579648,Collapsing Bounds
1234,angle_mod_75_1,-49912.420810155556,Collapsing Bounds
1849,angle_mod_605_1,-49911.44642388381,Collapsing Bounds
2603,angle_mod_551_1,-49911.18134438228,Collapsing Bounds
1037,angle_mod_353_1,-49910.38482446931,Collapsing Bounds
627,angle_mod_553_1,-49910.04568101734,Collapsing Bounds
967,angle_mod_256_1,-49910.043466286275,Collapsing Bounds
2695,angle_mod_479_1,-49908.88506245757,Collapsing Bounds
1297,angle_mod_1248_1,-49908.480170339564,Collapsing Bounds
2124,angle_mod_1797_1,-49906.823171568845,Collapsing Bounds
356,angle_mod_359_1,-49906.5717382034,Collapsing Bounds
708,angle_mod_58_1,-49906.13290492985,Collapsing Bounds
203,angle_mod_266_1,-49905.47642206199,Collapsing Bounds
2005,angle_mod_259_1,-49904.81190930523,Collapsing Bounds
806,angle_mod_470_1,-49904.1384195508,Collapsing Bounds
1564,angle_mod_1787_1,-49902.710894763426,Collapsing Bounds
694,angle_mod_1176_1,-49899.07166811327,Collapsing Bounds
2167,angle_mod_1304_1,-49898.710433036154,Collapsing Bounds
150,angle_mod_1629_1,-49898.62196491961,Collapsing Bounds
205,angle_mod_2025_1,-49898.44297617355,Collapsing Bounds
2712,angle_mod_2051_1,-49898.260758373835,Collapsing Bounds
2056,angle_mod_1040_1,-49897.99132732425,Collapsing Bounds
561,angle_mod_197_1,-49897.074686903,Collapsing Bounds
413,angle_mod_65_1,-49896.85257484447,Collapsing Bounds
1289,angle_mod_349_1,-49896.23875513,Collapsing Bounds
429,angle_mod_3_1,-49895.81668324714,Collapsing Bounds
2305,angle_mod_120_1,-49895.27572063889,Collapsing Bounds
202,angle_mod_1520_1,-49894.41248834264,Collapsing Bounds
1166,angle_mod_555_1,-49893.59617202729,Collapsing Bounds
326,angle_mod_358_1,-49890.07922108259,Collapsing Bounds
491,angle_mod_637_1,-49889.94182730007,Collapsing Bounds
