,model,dic,model_type
2350,angle_mod_1133_1,-50333.59702290955,Collapsing Bounds
2288,angle_mod_1324_1,-50333.3017574839,Collapsing Bounds
661,angle_mod_1891_1,-50333.001349074264,Collapsing Bounds
174,angle_mod_991_1,-50332.869877750374,Collapsing Bounds
411,angle_mod_2360_1,-50332.75445831349,Collapsing Bounds
1781,angle_mod_691_1,-50332.18325407179,Collapsing Bounds
1280,angle_mod_826_1,-50331.81224861198,Collapsing Bounds
829,angle_mod_1731_1,-50331.75158863528,Collapsing Bounds
2476,angle_mod_2227_1,-50331.52207046176,Collapsing Bounds
2119,angle_mod_1514_1,-50331.41721073344,Collapsing Bounds
1958,angle_mod_2124_1,-50331.332406015084,Collapsing Bounds
1931,angle_mod_1821_1,-50331.23400554513,Collapsing Bounds
1040,angle_mod_1946_1,-50331.14960355961,Collapsing Bounds
968,angle_mod_1510_1,-50330.721704228454,Collapsing Bounds
2622,angle_mod_1240_1,-50330.38092040639,Collapsing Bounds
2470,angle_mod_2030_1,-50330.37807036383,Collapsing Bounds
1167,angle_mod_1643_1,-50329.28688425206,Collapsing Bounds
2687,angle_mod_1515_1,-50329.203269658436,Collapsing Bounds
925,angle_mod_780_1,-50328.853700410145,Collapsing Bounds
1333,angle_mod_2075_1,-50328.8199754981,Collapsing Bounds
1004,angle_mod_2111_1,-50328.740636016366,Collapsing Bounds
1262,angle_mod_1264_1,-50328.61685318687,Collapsing Bounds
2711,angle_mod_1850_1,-50328.52511530381,Collapsing Bounds
620,angle_mod_1079_1,-50328.46793094683,Collapsing Bounds
268,angle_mod_2361_1,-50328.34674103039,Collapsing Bounds
2276,angle_mod_2267_1,-50328.31761383951,Collapsing Bounds
1516,angle_mod_1174_1,-50328.14876248919,Collapsing Bounds
2645,angle_mod_1684_1,-50327.91018233346,Collapsing Bounds
1051,angle_mod_1383_1,-50327.47449955047,Collapsing Bounds
787,angle_mod_1009_1,-50327.25998132638,Collapsing Bounds
2199,angle_mod_1083_1,-50326.918556629644,Collapsing Bounds
2589,angle_mod_1981_1,-50326.491565730685,Collapsing Bounds
1746,angle_mod_1207_1,-50326.34981953048,Collapsing Bounds
900,angle_mod_2347_1,-50326.10745336953,Collapsing Bounds
1070,angle_mod_2147_1,-50326.098602337814,Collapsing Bounds
2082,angle_mod_1914_1,-50325.965414294784,Collapsing Bounds
2539,angle_mod_1221_1,-50325.84140561614,Collapsing Bounds
956,angle_mod_939_1,-50325.57935096759,Collapsing Bounds
41,angle_mod_2357_1,-50325.44456314381,Collapsing Bounds
